pip,peep,driving_pressure,p_auc,decay_rate,decay_half_time,exp_concavity,tau_exp,rise_time,rise_slope,insp_auc,exp_auc,ie_auc_ratio,p_at_half_insp,p_mean,p_std,p_skewness,p_kurtosis,p_rms,zero_cross_rate,label
26.91,0.13,26.78,115.88500000000002,-2.6846428571428547,2.0,0.8817261904761908,3.865023526971331,7.0,3.825714285714286,58.660000000000004,57.224999999999994,1.0250764525993885,5.15,7.870000000000001,8.459853426626257,1.1821569504422273,0.22486603062552346,11.554480516232653,0.13333333333333333,Obstructive
26.04,1.36,24.68,113.905,-2.9749999999999983,2.0,0.6320238095238094,2.7958046666458367,7.0,3.525714285714286,55.59,58.315000000000005,0.9532710280373832,3.28,7.704666666666667,8.024458334090566,1.0346259949091043,-0.1901610599442458,11.124469425550146,0.13333333333333333,Obstructive
26.26,0.88,25.380000000000003,134.54999999999998,-2.6410714285714265,2.0,0.4019642857142861,4.1550708054144545,7.0,3.625714285714286,56.03,78.52000000000001,0.7135761589403973,1.74,9.111333333333333,8.475738604327585,0.7645067125203328,-0.45436828308138644,12.444056412601158,0.13333333333333333,Obstructive
25.61,0.17,25.439999999999998,116.615,-3.1958333333333315,3.0,0.44886904761904767,2.5209779513043094,6.0,4.239999999999999,50.900000000000006,65.71499999999999,0.7745567982956709,2.78,8.383571428571427,8.391411942441813,0.8598589964861502,-0.4921765931838631,11.86170579156785,0.14285714285714285,Obstructive
26.01,-0.02,26.03,127.30000000000001,-2.7753571428571404,2.0,0.4506547619047615,3.72321422963405,6.0,4.338333333333334,53.125,74.17500000000001,0.7162116616110549,1.8,9.18857142857143,8.33133316131926,0.7261141889649398,-0.5502269083300928,12.403263971344686,0.14285714285714285,Obstructive
25.47,0.08,25.39,109.97500000000001,-3.1014285714285688,2.0,0.5490476190476191,2.55199087401525,6.0,4.2316666666666665,49.44500000000001,60.529999999999994,0.8168676689245005,3.13,7.910714285714286,8.000462008342941,0.928946855962638,-0.3337847142989685,11.251079630735127,0.14285714285714285,Obstructive
27.16,0.92,26.24,121.675,-3.6029761904761872,3.0,0.40886904761904697,2.2455052957995867,6.0,4.373333333333333,47.32,74.355,0.6364064286194606,2.67,8.757857142857144,8.429566315375075,0.8023659299446246,-0.5879188149399397,12.155560456021762,0.14285714285714285,Obstructive
26.84,-0.04,26.88,122.9,-3.3730952380952353,3.0,0.4275000000000004,2.6919087425823127,6.0,4.4799999999999995,48.77,74.13,0.6578982867934711,0.81,8.821428571428571,8.658279156921639,0.691572622892757,-0.7668367521529325,12.360558239820724,0.14285714285714285,Obstructive
27.06,0.08,26.98,116.43,-3.471071428571427,3.0,0.5688690476190476,2.687562530524776,6.0,4.496666666666667,45.379999999999995,71.05,0.6387051372273047,0.11,8.397142857142857,8.714822700082747,0.8330335436830615,-0.5980298892542879,12.10207184151304,0.14285714285714285,Obstructive
26.25,1.93,24.32,127.05,-3.0261904761904734,3.0,0.40345238095238134,3.3727160211921254,6.0,4.053333333333334,50.290000000000006,76.75999999999999,0.6551589369463263,3.39,9.242142857142856,7.121606137634392,1.0074987888771938,-0.041179880371363886,11.667668086272792,0.14285714285714285,Obstructive
27.61,0.15,27.46,123.91499999999999,-3.7724999999999977,3.0,0.3614880952380952,2.1160024287899843,6.0,4.576666666666667,46.730000000000004,77.18499999999999,0.6054285159033492,0.3,8.885714285714284,9.143117407009896,0.694429025219924,-0.8499500338470223,12.749608397347515,0.14285714285714285,Obstructive
30.17,0.09,30.080000000000002,121.37,-4.195833333333329,2.0,0.8356547619047618,1.9363151015228293,6.0,5.013333333333334,53.56,67.81,0.7898540038342428,0.26,8.709285714285715,10.128475039839564,0.8969907671052112,-0.6776487138416858,13.358056156706121,0.14285714285714285,Obstructive
29.89,2.55,27.34,140.5,-3.8217857142857103,3.0,0.4864880952380954,2.885812564800743,6.0,4.556666666666667,52.849999999999994,87.64999999999999,0.602966343411295,0.53,10.212142857142855,9.426214342817305,0.7725094982478425,-0.7208652306415515,13.89753138407784,0.14285714285714285,Obstructive
27.83,0.08,27.75,121.09,-3.542333333333332,3.0,0.4362987012987015,1.9739253752909263,6.0,4.625,40.705,80.385,0.5063755675810163,0.19,8.082,9.184531343514486,0.9086182186241982,-0.55243858907762,12.234146476154354,0.13333333333333333,Obstructive
27.07,0.38,26.69,109.85000000000001,-3.144166666666666,2.0,0.621439393939394,2.211913596754555,6.0,4.448333333333333,46.334999999999994,63.515,0.7295127135322363,1.94,7.366000000000002,8.74613728072761,1.1364454317185495,-0.19103082462554744,11.43472226743323,0.13333333333333333,Obstructive
26.35,-0.01,26.360000000000003,101.25499999999998,-3.4547619047619014,2.0,0.7801190476190475,1.8395613606199819,6.0,4.3933333333333335,48.925,52.33,0.9349321612841582,1.05,7.25642857142857,8.724269602782849,1.0270941223424193,-0.3857571826159387,11.347626875884037,0.14285714285714285,Restrictive
32.02,0.19,31.830000000000002,123.96000000000001,-3.9574999999999965,2.0,1.048392857142857,1.6500716588565547,6.0,5.305000000000001,70.94500000000001,53.01500000000001,1.3382061680656419,5.97,8.88,10.8988433200173,1.136072594727861,-0.11447314091287453,14.058420455879306,0.14285714285714285,Restrictive
32.46,0.13,32.33,125.67500000000001,-4.239333333333331,3.0,0.7350432900432908,1.7801903393305336,5.0,6.465999999999999,42.885,82.78999999999999,0.517997342674236,4.55,9.004285714285713,11.072946900496927,1.032462365643621,-0.4878994417826097,14.271906469904934,0.14285714285714285,Restrictive
32.12,0.74,31.38,127.375,-4.004166666666664,2.0,1.0556547619047618,1.4138691075520275,6.0,5.2299999999999995,75.6,51.775,1.460164171897634,6.8,9.132857142857144,11.106299003314309,1.1157268291981466,-0.18734418991885127,14.37911531155019,0.14285714285714285,Restrictive
37.17,-0.03,37.2,129.385,-4.483452380952379,2.0,1.267916666666667,1.6582367378769465,6.0,6.2,71.665,57.72,1.2415973665973667,4.6,9.26142857142857,12.039785746279978,1.2848320993702937,0.2971704874104373,15.189815667084313,0.14285714285714285,Restrictive
